Date,DBC,GLD,HYG,IEF,LQD,QQQ,SPY,VGK,VT
13/09/2021,17.54774857,167.7400055,69.82175446,103.9268799,115.3866501,366.5582581,420.8453979,60.39151382,97.54450226
14/09/2021,17.53875542,168.8200073,69.7900238,104.3178711,115.7354965,365.5160828,418.5743103,60.23475266,96.96684265
15/09/2021,17.8265686,167.8300018,69.89309692,104.1401443,115.5993576,368.2335815,422.0705872,60.24345016,97.55368042
16/09/2021,17.70065117,164.0299988,69.86930084,103.8113556,115.4376984,368.486969,421.4013977,60.21732712,97.33360291
17/09/2021,17.55674362,163.7700043,69.78207397,103.5092621,115.1824265,364.1231689,417.2965088,59.25928879,96.37081146
20/09/2021,17.3498764,164.9400024,69.53623199,104.0334854,115.5397949,356.5992737,410.3384399,58.10471725,94.63282013
21/09/2021,17.36786461,166.0399933,69.65520477,103.9712906,115.5312881,357.0380554,409.9508362,58.70915604,94.92739105
22/09/2021,17.56573868,165.4199982,69.78207397,104.069046,115.8546524,360.3729553,413.9497986,59.26980591,95.83875275
23/09/2021,17.83556557,163.5099945,69.81380463,103.1271591,115.0547867,363.6980591,418.9793396,60.06695938,96.915802
24/09/2021,17.91651344,163.3000031,69.71074677,102.8161697,114.807991,364.0393066,419.6694946,59.35739517,96.565979
27/09/2021,18.15935898,163.6399994,69.64728546,102.5407028,114.7484055,361.1334839,418.4688416,59.26980591,96.50152588
28/09/2021,18.01544952,162.0500031,69.33010101,102.1497498,113.5230789,350.9142761,410.0358582,57.87696457,94.49475098
29/09/2021,18.03343773,161.3200073,69.45698547,102.2563782,113.4975586,350.3390198,410.7260132,57.67548752,94.38426971
30/09/2021,18.15036201,164.2200012,69.37766266,102.3807602,113.199707,349.0518188,405.7059326,57.47400665,93.73989105
01/10/2021,18.39320755,164.5899963,69.54395294,102.7986679,114.0224762,351.2165527,410.5274963,57.83315659,94.49475098
04/10/2021,18.69001961,165.3600006,69.29730988,102.6742172,113.8349152,343.8446655,405.2332458,57.53532028,93.39008331
05/10/2021,18.92386818,164.5899963,69.26547241,102.3540878,113.3659897,348.4862976,409.4497681,57.81564331,94.11730957
06/10/2021,18.60906792,165.0299988,69.22571564,102.3807602,113.4000549,350.7192688,411.1514282,57.43896866,94.11730957
07/10/2021,18.8429203,164.1600037,69.23365021,101.9717636,112.8970642,353.9371948,414.7061462,57.86819458,95.04706573
